Request_ID,Created_At,Category,Status,Neighborhood_ID,Neighborhood_Name,Ward_Number,Latitude,Longitude,Sentiment_Score,Delay_Minutes,Transit_Route_ID,Complaint_Text,Source,Sentiment_Label,Delay_Severity,NeedScore,Month,Quarter,Day_of_Week
1,2025-10-30 22:00:00,Water Leak,Resolved,10,Indiranagar,50,12.88489170432708,77.65711928696228,-0.36,9,138,Broken footpath,Twitter,negative,On-Time,40.91,10,Q4,Thursday
2,2025-02-05 20:00:00,Water Leak,Open,19,Yelahanka,75,12.989540214571525,77.72391542747148,0.89,20,155,Pothole near school,Mobile App,positive,Heavy Delay,87.88,2,Q1,Wednesday
3,2025-08-13 14:00:00,Graffiti,Resolved,6,HSR Layout,11,13.042585309863169,77.52906716693946,0.76,15,148,Illegal parking,Email,positive,Slight Delay,73.19,8,Q3,Wednesday
4,2025-08-05 07:00:00,Noise,Resolved,1,Whitefield,140,13.029604051306574,77.4857934377771,-0.53,7,157,Illegal parking,Email,negative,On-Time,48.35,8,Q3,Tuesday
5,2025-08-27 22:00:00,Pothole,In Progress,8,Jayanagar,168,13.035429751466639,77.59101534889169,0.93,-3,175,Graffiti on wall,Mobile App,positive,Early,58.56,8,Q3,Wednesday
6,2025-09-19 01:00:00,Graffiti,Open,8,Jayanagar,48,12.919793460638369,77.55832424325865,0.71,6,122,Water leakage on road,Twitter,positive,On-Time,57.77,9,Q3,Friday
7,2025-01-20 10:00:00,Pothole,Open,6,Marathahalli,121,12.868434380646061,77.7424583441201,0.97,6,106,Illegal parking,Twitter,positive,On-Time,73.37,1,Q1,Monday
8,2025-07-04 10:00:00,Streetlight,In Progress,17,Marathahalli,56,12.887240909637113,77.45225125629987,0.36,4,144,Illegal parking,Mobile App,positive,On-Time,34.01,7,Q3,Friday
9,2025-08-21 10:00:00,Garbage,Open,19,BTM Layout,8,13.088876621269735,77.73001491859394,0.86,-5,188,Streetlight not working,Twitter,positive,Early,51.6,8,Q3,Thursday
10,2025-12-13 18:00:00,Noise,Resolved,1,Koramangala,14,13.003378496773994,77.73652376674998,0.38,18,154,Graffiti on wall,Call Center,positive,Slight Delay,54.52,12,Q4,Saturday
11,2025-03-12 05:00:00,Graffiti,Resolved,15,Indiranagar,114,13.031974901465981,77.46528751303055,0.71,0,154,Water leakage on road,Mobile App,positive,On-Time,49.5,3,Q1,Wednesday
12,2025-02-02 01:00:00,Garbage,In Progress,13,HSR Layout,184,13.074766147945152,77.7168709553437,0.22,13,176,Pothole near school,Call Center,positive,Slight Delay,38.03,2,Q1,Sunday
13,2025-10-17 13:00:00,Noise,Open,3,Yelahanka,54,13.063188641637822,77.59123365188944,0.86,18,137,Graffiti on wall,Call Center,positive,Slight Delay,83.32,10,Q4,Friday
14,2025-04-12 09:00:00,Noise,Open,2,Indiranagar,17,12.90460046242978,77.67984522093616,0.04,7,118,Broken footpath,Call Center,neutral,On-Time,18.95,4,Q2,Saturday
15,2025-08-10 07:00:00,Noise,Open,3,Indiranagar,173,12.864515011152188,77.47377665934049,0.47,21,121,Illegal parking,Email,positive,Heavy Delay,64.06,8,Q3,Sunday
